uri,date_status,window_years,dates,citation,candidate_people,contributions,subject_labels
http://www.sudoc.fr/272413453/id,catalogued_year_in_window,2023,2023,"Les classes populaires à l'écart du politique ?  : actes du colloque organisé [par la Fondation Gabriel-Péri] les 11 et 12 mars 2022 à l'auditorium de l'Hôtel de Ville de Paris  / coordination Louise Gaxie / Pantin : Les éditions de la Fondation Gabriel Péri , DL 2023",Marion Fontaine,http://www.idref.fr/148532616/id aut,Sociologie politique; Participation politique; Actes de congrès; Classes populaires
http://www.sudoc.fr/27241638X/id,catalogued_year_in_window,2023,2023,"Expansion in history  / series editor George Bryan Souza,... / Leiden : Brill , 2023-....",George Bryan Souza,http://www.idref.fr/131468529/id pbd,Collections éditoriales
http://www.sudoc.fr/273081233/id,catalogued_year_in_window,2023,2023,"Hydraulic societies  : water, power, and control in East and Central Asian history  / edited by Nicholas B. Breyfogle and Philip C. Brown / Corvallis, Or. : Oregon State University press , 2023",Nicholas B. Breyfogle,http://www.idref.fr/088897451/id pbd,Gestion des ressources en eau; Approvisionnement en eau
http://www.sudoc.fr/273259512/id,catalogued_year_in_window,2023,2023,"Planting seeds of knowledge  : agriculture and education in rural societies in the twentieth century  / edited by Heinrich Hartmann and Julia Tischler / New York (N.Y.) : Berghahn Books , 2023",Julia Tischler,http://www.idref.fr/248997793/id pbd,Agriculture -- Recherche; Enseignement agricole; Enseignement en milieu rural
http://www.sudoc.fr/273381520/id,catalogued_year_in_window,2023,2023,"A history of crime in Australia  : Australian underworlds  / Nancy Cushing / London : Routledge, Taylor & Francis Group , 2023",Nancy Cushing,http://www.idref.fr/250377586/id aut,Droit pénal; Criminalité
http://www.sudoc.fr/273742892/id,catalogued_year_in_window,2023,2023,"Guerre à la guerre !  / Jean Jaurès  ; édition établie par Marion Fontaine et Christophe Prochasson / [Paris] : Fayard , DL 2023",Marion Fontaine,http://www.idref.fr/148532616/id edt,Guerre et socialisme; Histoire -- Sources; Guerre mondiale (1914-1918) -- Mouvements contestataires; Socialisme
http://www.sudoc.fr/274467224/id,catalogued_year_in_window,2023,2023,"Revisiting rape in Antiquity  : sexualized violence in Greek and Roman worlds  / edited by Susan Deacy, José Malheiro Magalhães and Jean Zacharski Menzies / London [etc.] : Bloomsbury academic , 2023",Susan Deacy,http://www.idref.fr/035257334/id pbd,Violences sexuelles; Viol
http://www.sudoc.fr/276507967/id,catalogued_year_in_window,2023,2023,"Histoire de la fédération CGT des services publics  Tome II, 1975-1995  / Dominique Durand  ; [préface de Stéphane Sirot] / Ivry-sur-Seine : les Éditions de l'Atelier-les Éditions ouvrières , DL 2023",Stéphane Sirot,http://www.idref.fr/035462744/id aui,Services publics; Confédération générale du travail (France). Fédération des services publics
http://www.sudoc.fr/276630203/id,catalogued_year_in_window,2024,2024,"Medieval riverscapes  : environment and memory in Northwest Europe, c. 300-1100  / Ellen F. Arnold,... / Cambridge [etc.] : Cambridge University Press , 2024",Ellen Fenzel Arnold,http://www.idref.fr/168373254/id aut,Civilisation médiévale; Nature -- Effets de l'homme; Cours d'eau
http://www.sudoc.fr/27666258X/id,catalogued_year_in_window,2022,2022,"Socialist women and the Great War, 1914-21  : protest, revolution and commemoration  / edited by Corinne Painter, Ingrid Sharp and Matthew Stibbe / London, UK : Bloomsbury Academic , 2022",Ingrid Sharp,http://www.idref.fr/112933602/id pbd,Guerre mondiale (1914-1918); Femmes -- Activité politique; Guerre mondiale (1914-1918) et société; Femmes socialistes
http://www.sudoc.fr/277050014/id,catalogued_year_in_window,2022,2022,"Listening to the languages of the people  : Lazare Sainéan on Romanian, Yiddish, and French  / Natalie Zemon Davis / Budapest : Central European University Press , 2022",Natalie Zemon Davis,http://www.idref.fr/026814102/id aut,"Biographie; Philologues; Sainéan, Lazare (1859-1934 ; linguiste); Philologie"
http://www.sudoc.fr/27852589X/id,catalogued_year_in_window,2021,2021,"La dé-formation de la classe ouvrière ?  : ecrire l'histoire du monde et du mouvement ouvriers aujourd'hui  : Dossier préparé en vue de l'obtention de l'habilitation à diriger des recherches en Histoire  / Marion Fontaine  ; Paul-André Rosental, garant /  , 2021",Marion Fontaine,http://www.idref.fr/148532616/id aut,Thèses et écrits académiques; Mineurs (ouvriers); Société industrielle; Politique minière
http://www.sudoc.fr/280171676/id,catalogued_year_in_window,2024,2024,"Marie-Louise Puech  : pacifisme, féminisme, résistance  / Rémy Cazals / [Maisons-Laffitte] : Éditions Ampelos , [2024]",Rémy Cazals,http://www.idref.fr/026773546/id aut,"Biographie; Puech, Marie-Louise (1876-1966)"
http://www.sudoc.fr/280438788/id,catalogued_year_in_window,2024,2024,"Histoire de l'Europe  Tome I, Origines et héritages, de la préhistoire au Ve siècle  / sous la direction de Violaine Sebillotte Cuchet et de Benjamin Deruelle  ; Anca Dan, Jean-Paul Demoule, Antoine Pietrobelli... [et al.] / Paris : Passés composés , DL 2024",Violaine Sebillotte-Cuchet,http://www.idref.fr/108540952/id aut,Préhistoire; Europe -- Jusqu'à 476; Civilisation -- Europe
