qid,label,discovery_cohorts,idref,gnd,bnf,viaf,lc,control,inherited_atlas_person_ids
Q3275661,Madeleine Guilbert,labour_history,033529671,,124388106,24694220,n88639514,False,
Q32786223,Judit Takács,gender_adjacent,200045458,103776210X,,165684418,nr2004026360,False,
Q3291933,Marie-Jo Bonnet,gender_history,026738643,141505745,11892862s,215429247,n2010037300,False,
Q3300575,Maurice Choury,labour_history,033717613,172020670,124556528,71487894,no2002083968,False,
Q3300694,Maurice Dommanget,labour_history,026834413,120672510,13091420d,46897073,n84128691,False,
Q3345944,Noëlline Castagnez-Ruggiu,labour_history,035165219,130290777,13171457h,77417577,n98011993,False,
Q3374422,Sverker Sörlin,environmental_history,057054061,13256548X,12967278d,31156498,n90647005,False,
Q33977818,Tithi Bhattacharya,gender_adjacent,100497764,117125959X,15061714z,19967563,nr2005014315,False,
Q3426250,René Gaudy,labour_history,026884291,140923314,11904336n,261637819,no2002011831,False,
Q3426657,René Mouriaux,labour_history,027041093,137783086,11917093k,64009685,n82119357,False,
Q3434667,Robert Brécy,labour_history,026750759,1089857489,118938594,8176,n84223877,False,
Q3440153,Roland Lew,labour_history,026988720,139440976,11912877b,7393394,nr88009504,False,
Q3456071,Rémi Skoutelsky,labour_history,035588780,,13323203t,235371446,n98099317,False,
Q3456127,Rémy Cazals,labour_history,026773546,1035735873,118956650,94284292,n81118224,False,
Q3479248,Serge Cosseron,labour_history,029384621,142020028,12102317n,19707291,n91041985,False,
Q34933,Eric Hobsbawm,,02759713X,120342081,11907589h,108402188; 9847789,n80014878,False,eric_hobsbawm
Q3502079,Stéphane Sirot,labour_history,035462744,1196659184,13191090n,71533796,n98072301,False,
Q351309,John D'Emilio,gender_adjacent,028372271,172035848,12022083v,68942315,n79075878,False,
Q355237,Bruno Latour,,02825354X,119404923,12012722c,109228530,n79026168,False,latour
Q3588768,Émile Tersen,labour_history,027157784,1035378485,11926241v,12315611,no2007103866,False,
Q3609092,Aldo Agosti,labour_history,029239303,13924686X,120906975,108297280,n79109875,False,
Q3624932,Natalia Pushkareva,gender_history,059877855,103288279,135594582,54312356,no89020394,False,
Q36545777,Elizabeth Y. Haworth,environmental_history,,,,1374246,,False,
Q42113723,Caroline Muller,gender_history,230106315,1187844942,16660960m,100153953292805562446,n2019030761,False,
Q42291175,Penny Richards,gender_history,,133707024,,61109464,,False,
Q42307246,Alexandrine Guyard-Nedelec,gender_adjacent,149400810,1143552474,170289735,173162602,n2016023259,False,
Q42376612,Chantal Ammann-Doubliez,gender_history,111022762,108195356X,165281234,65731132,n96012289,False,
Q42571640,Jane Carruthers,environmental_history,166827657,1150274328,12928346g,4128165628894642480006; 48310877,n88065089,False,
Q434160,E. P. Thompson,labour_history,027162028,119192519,119265619,18196,n78089033,False,ep_thompson
Q43419702,Jacob Darwin Hamblin,environmental_history,149640374,1057656801,,29821439,n2004016544,False,
Q434818,Hayden White,,028775457,119320908,120542000,85186152,n50020220,False,white
Q4355531,Janet Afary,gender_adjacent,035562080,143650858,131966341,29675054,n95112680,False,
Q44272,Michel Foucault,,026870290,11853453X,11903202t,104722665,n79065356,False,foucault
Q4460331,Dorothy Thompson,,028374711,119488736,12022277g,108906179,n78064616,False,dorothy_thompson
Q45835325,Fabien Locher,environmental_history,111253187,,159709935,79231059,nb2009009809,False,
Q45838990,Vincent Lemire,environmental_history,111291372,143930451,14533447p,56847373,no2011101165,False,
Q4662395,Aaron Sachs,environmental_history,120652552,171515749,15554940f,32310901,n94117049,False,
Q46865918,Boel Berner,gender_adjacent,052911667,121042732X,162520078,288820980,n85274478,False,
Q4690366,Afsaneh Najmabadi,gender_adjacent,030832411,124671942,12216908p,64056088,n87935082,False,
Q469551,Riane Eisler,gender_adjacent,029867797,111671809,121403546,52322471,n86027178,False,
Q47008702,Marilyn J. Boxer,gender_adjacent,15850061X,,12727396f,93317346,n77011118,False,
Q47089738,Hjördis Levin,gender_adjacent,033683794,,124526516,64101296,n97095254,False,
Q47091987,Marion Fontaine,labour_history,148532616,1035064480,15056797g,39663971,no2013076450,False,
Q47119724,Isobel Grundy,gender_history,028453328,,12028556s,12322641,n77000173,False,
Q47125547,Marion Löffler,gender_adjacent,,115226583,,41548119,no2004033425,False,
Q47254172,Vojin Saša Vukadinović,gender_adjacent,244144656,1072496208,17784868s,316497092,no2018134497,False,
Q4726150,Alice Whitcomb Clark,,02842672X,116525355,12026455p,234401269,n81147512,False,alice_clark
Q473006,Pierre Broué,labour_history,026754959,118065475,118941792,54145116,n50042785,False,
Q47519425,Cynthia Radding,environmental_history,110684826,,,61706458,n82135120,False,
Q47530459,Peter Boomgaard,environmental_history,031544495,137976534,12273930c,111382968,n81105307,False,
Q4757131,Andrew Gordon,labour_history,031037631,130535761,12233300z,108244315,n84200634,False,
Q47811047,Elena Brambilla,gender_adjacent,056603983,1145826644,13619512c,27242600,no2006112655,False,
Q48015092,Matija Zorn,environmental_history,24349999X,1061159868,,169585172,n2011014496,False,
Q4858952,Barbara Haney Irvine,gender_history,,,,,,False,
Q48758548,Tera Hunter,gender_adjacent,083691960,,150273165,12585485,n96113209,False,
Q49128,Drew Gilpin Faust,gender_history,032617194,132621614,12361298j,84262944,n81037154,False,
Q49156606,Clyde Plumauzille,gender_adjacent,182465322,1121538487,17092440t,104148207543100340017,no2017062987,False,
Q4946082,Asta Ekenvall,gender_adjacent,,,,72780255,n83234714,False,
Q4950540,Eva Gothlin,gender_adjacent,030848032,1157305342,122181633,73904162,n92001481,False,
Q4960259,Gunhild Kyle,gender_adjacent,,118896210,,32794913,n81144238,False,
Q4963115,Brian Black,environmental_history,075166704,132463539,15848946s,24935750,n99055615,False,
Q4974591,Paulina de los Reyes,gender_adjacent,031432727,1047155648,122648068,51747806,n92109891,False,
Q4990104,Louise Waldén,gender_adjacent,059824891,,,263628333,,False,
Q50140470,Nahema Hanafi,gender_history,168981637,1112962581,16685535x,299552442,no2017108006,False,
Q50380149,Yolande Cohen,gender_adjacent,028338243,1192980611,120194169,54160125,n82030734,False,
Q50383736,Maria Sjöberg,gender_history,17690493X,13902588X,,19823253,n95005653,False,
Q50426878,Nikolaus Benke,gender_adjacent,083202420,115625917,,69664917,no93004897,False,
Q505705,Andrew H. Knoll,environmental_history,076349071,103292411X,,61430969,nr94039239,False,
Q514152,Yvonne Hirdman,gender_adjacent,060833599,129396451,12817411g,62627192,n79081829,False,
Q5144836,Colin A. Russell,environmental_history,030539846,139956158,12193447z,29579844,n50022290,False,
Q52084295,Edith Specht,gender_adjacent,031340571,139732969,13163399f; 16146389v,266620502,n90613507,False,
Q5231769,David Brody,labour_history,085716553,170132269,12905680b,46890322,n82077120,False,
Q5293807,Dona Torr,,082101876,124230474,,198343713,no2002086839,False,dona_torr
Q5298692,Dorothy Y Ko,gender_adjacent,071586733,172999731,137626752,114474487,nr94002689,False,
Q5354278,Eleanor Flexner,,081583036,,,109405565,n50003556,False,eleanor_flexner
Q53709768,Anthony G. Brown,environmental_history,,,,,,False,
Q53941903,Susan Deacy,gender_adjacent,035257334,1297758293,134785001,44448723,no98081183,False,
Q54011021,Violaine Sebillotte-Cuchet,gender_history,108540952,134254937,15084779p,278187607,no2007026487,False,
Q546097,Veronica Wedgwood,,058599436,118839055,12646033q,94416732,n50022706,False,cv_wedgwood
Q54875047,Bibia Pavard,gender_history,092011977,1041308795,15010919z,29808676,n2006005630,False,
Q55229127,Emeterio Diez Puertas,gender_adjacent,069286647,135696542,17116302g,268571296,nb2003039668,False,
Q55597937,Liliane Hilaire-Pérez,environmental_history,034798439,1081838833,125514689,34572302,no97082109,False,
Q55620887,Marion Trévisi,gender_history,075892642,1098217837,156785537,69257998,no2008092354,False,
Q56065503,Paul R. Greenough,environmental_history,,129514748,,50309379,,False,
Q56090899,Susan L. Mann,gender_adjacent,029079292,136134866,120779707,59107637,n86001445,False,
Q560942,Maurice Dobb,,031623115,129923958,12280257z,250737582,n80014413,False,maurice_dobb
Q56306622,Delphine Gardey,gender_history; gender_adjacent,052528561,1135925046,135613013,42006056,no2002025902,False,
Q56366543,Alice White,labour_history,,,,,,False,
Q56399666,Freek Colombijn,environmental_history,034015574,173359809,12481410f,17324511,no95013279,False,
Q56807282,Anneli Ekblom,environmental_history,,119061216X,,39116272,,False,
Q5701986,Helen Cam,,067013015,115573615,12399996b,95704,n79081609,False,helen_maud_cam
Q57411776,Ian Matthew Miller,environmental_history,,1218471026,,29160208870448622877,,False,
Q57413196,John Sandlos,environmental_history,231291140,138083150,,119763859,nb2007015388,False,
Q57417981,Ruth Morgan,environmental_history,085947067,,12130275p,19712095,nr89004847,False,
Q57433374,Dolly Jørgensen,environmental_history,182304086; 187077061,1071091042,177631117,273325338,n2011036336,False,
Q57584924,Kathy Peiss,gender_adjacent,109202570,171799801,,11312360,n85803919,False,
Q58002994,John Opie,environmental_history,033332525,136754996,12420901c,109758660,n85299591,False,
Q58216827,Arn Keeling,environmental_history,,1088571751,,21690549,no00067180,False,
Q58217341,Graeme Wynn,environmental_history,127500278,172459346,16629901f,43169439,n81130832,False,
Q58374487,Vera Mackie,gender_adjacent,06945308X,173247644,14485981k,267308829,n89671722,False,
Q58452685,Claire Walker,gender_adjacent,077762347,173578330,14481786s,66692231,n97042376,False,
Q58460971,Teresa María Ortega López,gender_adjacent,092691501,,,7626945,no2006007604,False,
Q58755267,Elizabeth Lunbeck,gender_adjacent,08582481X,1051723205,145076347,113858915,n87146857,False,
Q58838660,Anna Bravo,gender_adjacent,029236045,1212077296,12090440n,68955794,n88065982,False,
Q58908061,Jason W. Moore,environmental_history,189827092,143732366,17767795q,1950150032981911180007; 315177562,n2015022168,False,
Q59112,Barbara W. Tuchman,,027170985,115594728,11927218k,64012591,n79148942,False,barbara_tuchman
Q59180001,Linda Walsh Jenkins,gender_adjacent,129900680,1049697103,129137972,91881827,n80057093,False,
Q59390954,Dinora Corsi,gender_history,058495479,,13759025b,19219688,no00014387,False,
Q5951265,Huw Lewis-Jones,environmental_history,174755775,133627497,16617700v,258826710,nb2009004947,False,
Q59627127,Mary Martin McLaughlin,gender_adjacent,145837890,1023113244,,113914292,no2003014746,False,
Q59656845,Amy Swerdlow,gender_history,166255920,,,242872784,n80065426,False,
Q59750039,Matthew Booker,environmental_history,248608304,1048325121,,295022316,,False,
Q6003727,María Emma Mannarelli,gender_adjacent,11673213X,1056264934,13632030n,188458,no94020711,False,
Q60059070,Amélia Polónia,environmental_history,123805511,1057260479,17076141w,9369842,nb2006017188,False,
Q60071554,Danièle Voldman,environmental_history,027189813,132745216,119286496,49232868,n85177918,False,
Q6060026,Gunnar Qvist,gender_history,,1236595785,,89356586,n88043166,False,
Q60696413,Conevery Bolton Valencius,environmental_history,111975115,1070828130,,118546747,n99802946,False,
Q61149872,Stephen Bocking,environmental_history,085037567,173132936,137444042,12485378,n96071684,False,
Q61480676,Luca Mocarelli,environmental_history,092231411,133946282,14523609g,12540781,no2002098348,False,
Q6169265,Ximena Valdés Subercaseaux,gender_adjacent,095066748,173067867,13738709c,27244868,n82269041,False,
Q61870212,Mikiyo Kanō,gender_history,149399782,172599865,,76210473,nr95045334,False,
Q62090796,Edmund Russell,environmental_history,117655961,1013556631,14424129s,118600341,n00010744,False,
Q6245871,John M. MacKenzie,environmental_history,028487656,130555096,120313829,108236406,n83167171,False,
Q6256124,Sven-Erik Åström,environmental_history,030206723,13016240X,121671464,27106946,n79132371,False,
Q62578895,Mona L. Siegel,gender_history,092733751,,15008370s,69206810,n2004040073,False,
Q62689456,Francisca de Haan,gender_adjacent,110835549,137245416,13576514d,84442003,n93059468,False,
Q63027815,Ludmila Nesládková,gender_adjacent,,,,13024883,n85228840,False,
Q6303321,Judith Cora Brown,gender_history,028654471,1136098119,12044521k,39395540,n81044573,False,
Q63143863,Susan Groag Bell,gender_adjacent,071062505,119051354,129101025,52490921; 79409052,n80132910,False,
Q63226672,Joan Judge,gender_adjacent,122820126,138901244,158742575,115510498,nr96011651,False,
Q63228482,Christina Bates,gender_history,250594048,,16205547k,104001870,n2004123423,False,
Q63969094,David Peterson del Mar,environmental_history,163805768,134248074,14563787c,55359994,n95109747,False,
Q63975524,Margaret Jean Hay,gender_history,061108308,,15528789k,94906604,n83008625,False,
Q64007312,Bethany J. Walker,environmental_history,127265848,1219226327,169796375,100661976,n2009056374,False,
Q64397,Shere Hite,gender_adjacent,05405950X,119331942,12613143z,109878720,n81012403,False,
Q64592278,Dalia Leinartė,gender_adjacent,194609383,143155490,16574926f,163584032,nb2010028311,False,
Q64627027,Laura Lee Downs,gender_adjacent,034367160,133098796,12512992z,114452219,n94119981,False,
Q64684802,Jo Vellacott,gender_history,,1313919470,,91952991,,False,
Q64699600,Bryan D. Palmer,labour_history,026666995,170892956,,112731920,n79147113,False,
Q64699610,Rachel Moss,gender_history,124945619,1043673849,156143404,42165561,nr2007008101,False,
Q64748136,Kathleen Belew,gender_adjacent,225730510,1159408157,,75150746924116301531,no2017127578,False,
Q6490971,Larry Portis,labour_history,034439641,,125195571,9955895,n81075162,False,
Q65202515,Tetyana Isaeva,gender_history,,,,,,False,
Q65619616,Jessica Malay,gender_history,15682163X,1164113186,,10168251,n2006040667,False,
Q66771713,Mark Carey,environmental_history,148945821,141489006,,266446621,n2009040681,False,
Q6688595,Louise A. Tilly,gender_history,085867918,170223833,12097840f,49253916,n81028926,False,
Q67607474,Georgina Endfield,environmental_history,122251326,1060228432,17156910k,36368084,n2007045714,False,
Q6763649,Marilyn Yalom,gender_history; gender_adjacent,029592755,1011282461,12118576c,265737238,n81019178,False,
Q6769821,Mark Starr,labour_history,085644978,1132230489,,108746226,n80139146,False,
Q6774551,Martha Saxton,gender_adjacent,083915249,1193147271,,16306750,n88027378,False,
Q6780609,Mary Ritter Beard,,050131958,118849700,12776999x,97657666,n50006429,False,mary_ritter_beard
Q69166,Wolfgang Abendroth,labour_history,059245239,118500155,126918432,90724636,n50034828,False,
Q7164359,Penny Colman,gender_history,114509255,,,235025411,n87909714,False,
Q719787,Christopher Hill,,026922150,11892060X,11907519b,90632093,n50035155,False,christopher_hill
Q72096835,Aline Charles,gender_adjacent,155982745,,,71727649,no2010120733,False,
Q72140,Gisela Bock,gender_adjacent,028771478,118852299,120538879,76335957,n85354801,False,
Q72413181,María Dolores Ramos Palomo,gender_history,032526253,129461075,12353959v,5006999,n88055804,False,
Q7326099,Richard Grove,environmental_history,029500109,1150713046,12111431f,31008881,n86010145,False,
Q73735569,Matthias Schmelzer,environmental_history,166346535,1102227218,,63046581,n86840772,False,
Q73801239,Paula Hamilton,gender_history,139791396,1126768545,16167885h,60574079,n86149834,False,
Q74938248,Shannon Gleeson,labour_history,251518191,1125554037,16766816g,250980826,no2012083231,False,
Q755941,Atina Grossmann,gender_adjacent,034584412,135834554,12532529h,121328,n84040963,False,
Q75812,Norbert Elias,,027288579,11852982X,119016551,27064019,n50012094,False,elias
Q75817534,Susan Barnum,gender_history,,,,,,False,
Q76009893,Karen Mahar,gender_history,159515750,132990660,,33174890,n2006005308,False,
