person_id,label,has_node,rep_n,strand_n,entries
erving_goffman,Erving Goffman,False,1,0,practice
marcel_detienne,Marcel Détienne,False,1,0,practice
anthony_giddens,Anthony Giddens,False,1,1,practice
ann_swidler,Ann Swidler,False,2,1,practice;truthdebate
sherry_ortner,Sherry B. Ortner,False,1,1,practice
john_scotson,John L. Scotson,False,1,1,historicalsociology
eric_dunning,Eric Dunning,False,1,1,historicalsociology
hans_peter_duerr,Hans Peter Duerr,False,1,1,anthropology
orin_grant_libby,Orin Grant Libby,False,2,1,geography;progressive
vernon_parrington,Vernon Louis Parrington,False,1,1,progressive
daniel_boorstin,Daniel J. Boorstin,False,1,1,progressive
john_higham,John Higham,False,1,1,progressive
david_potter,David M. Potter,False,1,1,progressive
carlo_cipolla,Carlo M. Cipolla,False,1,0,revival
keith_thomas,Keith Thomas,False,1,0,revival
peter_brown,Peter Brown,False,1,1,revival
theodore_zeldin,Theodore Zeldin,False,1,1,revival
lionel_gossman,Lionel Gossman,False,1,0,revival
richard_biernacki,Richard Biernacki,False,1,1,truthdebate
karen_halttunen,Karen Halttunen,False,1,1,truthdebate
steven_feierman,Steven Feierman,False,4,4,africanhist;medicalhistory;science;truthdebate
sonya_rose,Sonya O. Rose,False,1,1,truthdebate
caroline_walker_bynum,Caroline Walker Bynum,False,1,1,truthdebate
jerrold_seigel,Jerrold Seigel,False,1,1,truthdebate
hilary_putnam,Hilary Putnam,False,1,1,truthdebate
richard_rorty,Richard Rorty,False,1,1,truthdebate
george_steiner,George Steiner,False,1,1,truthdebate
tony_bennett,Tony Bennett,False,1,0,truthdebate
nancy_partner,Nancy F. Partner,False,1,1,truthdebate
arthur_marwick,Arthur Marwick,False,1,1,truthdebate
lorraine_daston,Lorraine Daston,False,1,1,science
peter_galison,Peter Galison,False,2,1,science;technology
lu_gwei_djen,Lu Gwei-djen,False,1,1,science
wang_ling,Wang Ling,False,1,1,science
ho_peng_yoke,Ho Peng-Yoke,False,1,1,science
nathan_sivin,Nathan Sivin,False,1,1,science
tsien_tsuen_hsuin,Tsien Tsuen-hsuin,False,2,1,science;technology
huang_hsing_tsung,Huang Hsing-Tsung,False,1,1,science
francesca_bray,Francesca Bray,False,3,2,gender;science;technology
roshdi_rashed,Roshdi Rashed,False,1,1,science
paulin_hountondji,Paulin J. Hountondji,False,2,1,africanhist;science
deepak_kumar,Deepak Kumar,False,1,1,science
john_m_janzen,John M. Janzen,False,3,3,africanhist;medicalhistory;science
pierre_metinhoue,Pierre G. Mêtinhoué,False,3,2,africanhist;science;technology
karl_popper,Karl R. Popper,False,1,1,science
imre_lakatos,Imre Lakatos,False,1,1,science
max_sorre,Max Sorre,False,2,2,epistemology;geography
karin_knorr_cetina,Karin Knorr Cetina,False,1,1,sts
sandra_harding,Sandra Harding,False,2,1,gender;sts
christopher_freeman,Christopher Freeman,False,1,1,sts
judy_wajcman,Judy Wajcman,False,2,1,sts;technology
michel_callon,Michel Callon,False,1,1,sts
john_law,John Law,False,1,1,sts
richard_jones,Richard Jones,False,1,1,historicalecon
cliffe_leslie,T. E. Cliffe Leslie,False,1,1,historicalecon
bruno_hildebrand,Bruno Hildebrand,False,1,1,historicalecon
karl_knies,Karl Knies,False,1,1,historicalecon
john_maynard_keynes,John Maynard Keynes,False,1,1,economictheory
fernando_novais,Fernando A. Novais,False,1,1,economic
dadabhai_naoroji,Dadabhai Naoroji,False,2,2,anticolonial;economictheory
david_harvey,David Harvey,False,1,1,geography
doreen_massey,Doreen Massey,False,3,3,geography;historyworkshop;spatialhistory
dolores_hayden,Dolores Hayden,False,5,5,geography;memory;publichistory;spatialhistory;urbanhistory
felix_driver,Felix Driver,False,3,3,geography;historyworkshop;spatialhistory
jules_sion,Jules Sion,False,1,1,geography
lionel_bataillon,Lionel Bataillon,False,1,1,geography
denis_cosgrove,Denis Cosgrove,False,1,1,geography
robert_bullard,Robert D. Bullard,False,1,1,environment
rita_huggins,Rita Huggins,False,4,4,environment;geography;historyworkshop;indigenous
jackie_huggins,Jackie Huggins,False,4,4,environment;geography;historyworkshop;indigenous
jane_m_jacobs,Jane M. Jacobs,False,3,3,geography;historyworkshop;indigenous
harry_mcdean,Harry C. McDean,False,1,1,environment
gilbert_fite,Gilbert C. Fite,False,1,1,environment
james_malin,James C. Malin,False,2,1,environment;geography
paul_bonnifield,Paul Bonnifield,False,1,1,environment
r_douglas_hurt,R. Douglas Hurt,False,1,2,environment;geography
pamela_riney_kehrberg,Pamela Riney-Kehrberg,False,1,1,environment
leslie_hewes,Leslie Hewes,False,1,1,geography
ronald_inden,Ronald Inden,False,2,1,environment;post
david_johns,David M. Johns,False,1,1,environment
george_sessions,George Sessions,False,1,1,environment
peter_pesic,Peter Pesic,False,2,1,environment;science
alfred_chandler,Alfred D. Chandler Jr.,False,2,1,economic;technology
joel_mokyr,Joel Mokyr,False,3,3,economic;global;technology
tirthankar_roy,Tirthankar Roy,False,2,2,economic;technology
maxine_berg,Maxine Berg,False,2,1,economic;technology
peter_mcclelland,Peter D. McClelland,False,2,2,economic;quant
paul_david,Paul A. David,False,2,2,economic;quant
peter_temin,Peter Temin,False,2,2,economic;quant
philip_huang,Philip C. C. Huang,False,2,1,economic;global
lorna_weatherill,Lorna Weatherill,False,3,2,consumption;economic;women
carole_shammas,Carole Shammas,False,2,1,consumption;economic
amanda_vickery,Amanda Vickery,False,5,3,consumption;gender;practice;social;women
craig_clunas,Craig Clunas,False,2,2,consumption;culture
catherine_pagani,Catherine Pagani,False,1,1,consumption
patrick_geary,Patrick Geary,False,3,2,anthropology;consumption;culture
joseph_ferrie,Joseph P. Ferrie,False,2,2,quant;social
dharma_kumar,Dharma Kumar,False,3,3,economic;labourhistory;quant
robert_swierenga,Robert Swierenga,False,1,1,quant
jack_goody,Jack Goody,False,2,2,anthropology;demography
michel_fleury,Michel Fleury,False,2,2,demography;quant
jean_noel_biraben,Jean-Noël Biraben,False,2,2,demography;quant
pierre_goubert,Pierre Goubert,False,1,1,demography
stevan_harrell,Stevan Harrell,False,2,1,anthropology;demography
cameron_campbell,Cameron Campbell,False,2,2,demography;quant
david_kertzer,David I. Kertzer,False,1,1,demography
dennis_hogan,Dennis P. Hogan,False,1,1,demography
gordon_wood,Gordon S. Wood,False,1,1,political
graham_wallas,Graham Wallas,False,1,1,biography;political
noemi_goldman,Noemí Goldman,False,2,2,conceptual;political
hilda_sabato,Hilda Sábato,False,1,1,political
francois_xavier_guerra,François-Xavier Guerra,False,1,1,political
annick_lemperiere,Annick Lempérière,False,1,1,political
silvia_ratto,Silvia Ratto,False,1,1,conceptual;political
janaki_nair,Janaki Nair,False,4,3,gender;labourhistory;social;subaltern
kathleen_canning,Kathleen Canning,False,3,1,gender;language;social
jan_lucassen,Jan Lucassen,False,3,2,labourhistory;military;social
erik_jan_zurcher,Erik Jan Zürcher,False,3,2,labourhistory;military;social
elizabeth_j_perry,Elizabeth J. Perry,False,1,1,historicalsociology
stein_rokkan,Stein Rokkan,False,1,1,historicalsociology
helmut_berding,Helmut Berding,False,1,1,bielefeld
wolfgang_j_mommsen,Wolfgang J. Mommsen,False,1,1,bielefeld
hans_jurgen_puhle,Hans-Jürgen Puhle,False,1,1,bielefeld
theodor_schieder,Theodor Schieder,False,1,1,bielefeld
brigitte_studer,Brigitte Studer,False,1,1,gender
luis_gonzalez_y_gonzalez,Luis González y González,False,1,1,micro
armida_de_la_vara,Armida de la Vara,False,1,1,micro
josefina_gonzalez_cardenas,Josefina González Cárdenas,False,1,1,micro
milton_rogovin,Milton Rogovin,False,1,1,oral
dick_hughes,Dick Hughes,False,1,1,oral
elizabeth_jelin,Elizabeth Jelin,False,1,1,memory
