?lab	?p	?g	?gLabel	?desc
"Richard Rorty"@en	<http://www.wikidata.org/entity/Q215258>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American philosopher (1931–2007)"@en
"Louis Hartz"@en	<http://www.wikidata.org/entity/Q21541044>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Dutch painter and etcher (1869-1935)"@en
"David Harvey"@en	<http://www.wikidata.org/entity/Q21550833>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	
"Robert Gottlieb"@en	<http://www.wikidata.org/entity/Q2157324>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American editor of books and magazines (1931–2023)"@en
"Alain Robbe-Grillet"@en	<http://www.wikidata.org/entity/Q216266>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"French author and film director (1922–2008)"@en
"Laurence Sterne"@en	<http://www.wikidata.org/entity/Q218960>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Anglo-Irish novelist and Anglican cleric (1713–1768)"@en
"Judith Butler"@en	<http://www.wikidata.org/entity/Q219368>	<http://www.wikidata.org/entity/Q48270>	"non-binary"@en	"American feminist gender studies philosopher (born 1956)"@en
"Hilary Putnam"@en	<http://www.wikidata.org/entity/Q221697>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American philosopher and mathematician"@en
"Aimé Césaire"@en	<http://www.wikidata.org/entity/Q223955>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Martinican writer, poet and politician (1913–2008)"@en
"Ruth Benedict"@en	<http://www.wikidata.org/entity/Q228822>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"American anthropologist and folklorologist (1887-1948)"@en
"G. E. M. Anscombe"@en	<http://www.wikidata.org/entity/Q229646>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"British analytic philosopher"@en
"Barbara Hardy"@en	<http://www.wikidata.org/entity/Q23022369>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"Welsh literary scholar, author, poet (1924–2016)"@en
"Tony Bennett"@en	<http://www.wikidata.org/entity/Q23048751>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"non-fiction writer"@en
"Fernando Henrique Cardoso"@en	<http://www.wikidata.org/entity/Q230578>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"President of Brazil from 1995 to 2003"@en
"Mary Douglas"@en	<http://www.wikidata.org/entity/Q231349>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"British anthropologist (1921–2007)"@en
"Michael Frisch"@en	<http://www.wikidata.org/entity/Q23561306>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"German politician"@en
"Stuart Hall"@en	<http://www.wikidata.org/entity/Q2357886>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British musician"@en
"George Santayana"@en	<http://www.wikidata.org/entity/Q237833>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Spanish-American philosopher"@en
"Melvin Richter"@en	<http://www.wikidata.org/entity/Q23930529>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"scientist"@en
"Evelyn Brooks Higginbotham"@en	<http://www.wikidata.org/entity/Q24049032>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"American professor"@en
"Gayatri Chakravorty Spivak"@en	<http://www.wikidata.org/entity/Q240851>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"Indian scholar, literary theorist, and feminist critic"@en
"Graham Wallas"@en	<http://www.wikidata.org/entity/Q2551919>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"English socialist, social psychologist, educationalist (1858–1932)"@en
"Franz Neumann"@en	<http://www.wikidata.org/entity/Q25592735>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Austrian numismatist"@en
"Eve Kosofsky Sedgwick"@en	<http://www.wikidata.org/entity/Q258462>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"American scholar of queer theory (1950-2009)"@en
"David H. Smith"@en	<http://www.wikidata.org/entity/Q26001389>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American pediatric infectious diseases researcher"@en
"Nancy Fraser"@en	<http://www.wikidata.org/entity/Q267536>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"American philosopher"@en
"Robert Kelley"@en	<http://www.wikidata.org/entity/Q26837149>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American football player"@en
"Gaston Bachelard"@en	<http://www.wikidata.org/entity/Q270800>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"French writer and philosopher (1884-1962)"@en
"Marianne Weber"@en	<http://www.wikidata.org/entity/Q275840>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"Dutch singer"@en
"Dick Hughes"@en	<http://www.wikidata.org/entity/Q27909769>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American-football player (1932-)"@en
"John Law"@en	<http://www.wikidata.org/entity/Q27915226>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American football player"@en
"Paul Willis"@en	<http://www.wikidata.org/entity/Q28004328>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Australian science communicator and paleontologist"@en
"Shoshana Felman"@en	<http://www.wikidata.org/entity/Q2892505>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"professor of comparative literature and American literary critic"@en
"Étienne Balibar"@en	<http://www.wikidata.org/entity/Q289333>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"French philosopher"@en
"Carroll Smith-Rosenberg"@en	<http://www.wikidata.org/entity/Q28971403>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"American historian"@en
"Mary McLeod Bethune"@en	<http://www.wikidata.org/entity/Q291068>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"American educator and civil rights leader (1875-1955)"@en
"Carolyn Merchant"@en	<http://www.wikidata.org/entity/Q2940097>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"American ecofeminist"@en
"Marcel Mauss"@en	<http://www.wikidata.org/entity/Q295393>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"French sociologist and anthropologist (1872-1950)"@en
"Imre Lakatos"@en	<http://www.wikidata.org/entity/Q296249>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Hungarian philosopher of mathematics and science (1922-1974)"@en
"David Harvey"@en	<http://www.wikidata.org/entity/Q29642906>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"professor of paediatrics"@en
"John Law"@en	<http://www.wikidata.org/entity/Q29643115>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"medical physicist"@en
"Tony Bennett"@en	<http://www.wikidata.org/entity/Q296729>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American singer (1926–2023)"@en
"Ifi Amadiume"@en	<http://www.wikidata.org/entity/Q298277>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"Nigerian poet, anthropologist, and essayist"@en
"David Bloor"@en	<http://www.wikidata.org/entity/Q3017532>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British sociologist (1942-)"@en
"David Harvey"@en	<http://www.wikidata.org/entity/Q3018045>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American musician"@en
"Denis Cosgrove"@en	<http://www.wikidata.org/entity/Q3022630>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"professor (1948-2008)"@en
"Dick Hebdige"@en	<http://www.wikidata.org/entity/Q3026588>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British sociologist"@en
"Anton Blok"@en	<http://www.wikidata.org/entity/Q3055177>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Dutch sportsperson and athletics competitor"@en
"Roger Establet"@en	<http://www.wikidata.org/entity/Q3078901>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"French sociologist"@en
"William Mason"@en	<http://www.wikidata.org/entity/Q3098261>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"poet (1724-1797)"@en
"John Law"@en	<http://www.wikidata.org/entity/Q312694>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Scottish economist and banker (1671-1729)"@en
"Robert K. Merton"@en	<http://www.wikidata.org/entity/Q312843>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American sociologist (1910–2003)"@en
"Hilary Jenkinson"@en	<http://www.wikidata.org/entity/Q3135567>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British archivist and paleographer (1882–1961)"@en
"Louis Hjelmslev"@en	<http://www.wikidata.org/entity/Q313769>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Danish linguist (1899-1965)"@en
"Erving Goffman"@en	<http://www.wikidata.org/entity/Q314471>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Canadian-American sociologist (1922–1982)"@en
"Jules Sion"@en	<http://www.wikidata.org/entity/Q3188912>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"French geographer (1879-1940)"@en
"Alexandre Koyré"@en	<http://www.wikidata.org/entity/Q319243>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"French philosopher (1892–1964)"@en
"Stein Rokkan"@en	<http://www.wikidata.org/entity/Q319704>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Norwegian political scientist"@en
"William Mason"@en	<http://www.wikidata.org/entity/Q321967>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American composer (1829–1908)"@en
"Homi K. Bhabha"@en	<http://www.wikidata.org/entity/Q325741>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Indian critical theorist (born 1949)"@en
"Maurice Halbwachs"@en	<http://www.wikidata.org/entity/Q326000>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"French sociologist (1877-1945), died in Buchenwald concentration camp"@en
"Pierre Macherey"@en	<http://www.wikidata.org/entity/Q326897>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"French academic"@en
"Mary Church Terrell"@en	<http://www.wikidata.org/entity/Q3296160>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"American activist and suffragette (1863–1954)"@en
"Paul Gilroy"@en	<http://www.wikidata.org/entity/Q329624>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Scholar of the Black diaspora and culture"@en
"Maurice Mandelbaum"@en	<http://www.wikidata.org/entity/Q3301118>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American philosopher (1908–1987)"@en
"Samir Amin"@en	<http://www.wikidata.org/entity/Q334134>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Egyptian-French economist and political theorist (1931-2018)"@en
"James Boswell"@en	<http://www.wikidata.org/entity/Q335060>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Scottish lawyer, diarist and author (1740–1795)"@en
"Sándor Ferenczi"@en	<http://www.wikidata.org/entity/Q335466>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Hungarian psychoanalyst (1873–1933)"@en
"Pierre Bourdieu"@en	<http://www.wikidata.org/entity/Q3384136>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"French rock climber (1895-1969)"@en
"Pratibha Parmar"@en	<http://www.wikidata.org/entity/Q3401401>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"British filmmaker (born 1955)"@en
"David Harvey"@en	<http://www.wikidata.org/entity/Q343055>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British geographer and anthropologist"@en
"Roshdi Rashed"@en	<http://www.wikidata.org/entity/Q3442614>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Egyptian-French mathematician, philosopher and historian of science"@en
"Marshall Sahlins"@en	<http://www.wikidata.org/entity/Q345300>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American anthropologist (1930-2021)"@en
"Stuart Hall"@en	<http://www.wikidata.org/entity/Q3459517>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"English former media personality and sex offender"@en
"Craig Clunas"@en	<http://www.wikidata.org/entity/Q3468075>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British art historian"@en
"Antoine Meillet"@en	<http://www.wikidata.org/entity/Q347001>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"French linguist (1866–1936)"@en
"Sheila Jasanoff"@en	<http://www.wikidata.org/entity/Q3481755>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"American social scientist"@en
"David Kaufmann"@en	<http://www.wikidata.org/entity/Q351593>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Austrian academic (1852-1899)"@en
"Trevor Pinch"@en	<http://www.wikidata.org/entity/Q3538596>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British sociologist (1952–2021)"@en
"Northrop Frye"@en	<http://www.wikidata.org/entity/Q354256>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Canadian literary critic and literary theorist (1912–1991)"@en
"Victor Turner"@en	<http://www.wikidata.org/entity/Q357480>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British cultural anthropologist (1920-1983)"@en
"Barry Barnes"@en	<http://www.wikidata.org/entity/Q3635218>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"basketball coach"@en
"David Harvey"@en	<http://www.wikidata.org/entity/Q3703205>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Australian-Brazilian rugby union footballer"@en
"Piero Sraffa"@en	<http://www.wikidata.org/entity/Q370468>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Italian economist (1898–1983)"@en
"Armida de la Vara"@en	<http://www.wikidata.org/entity/Q37111475>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"Mexican poet"@en
"Giovanni Arrighi"@en	<http://www.wikidata.org/entity/Q375310>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Italian economist and sociologist (1937-2009)"@en
"Arthur Schopenhauer"@en	<http://www.wikidata.org/entity/Q38193>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"German philosopher (1788-1860)"@en
"Paolo Rossi"@en	<http://www.wikidata.org/entity/Q3894428>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Italian association footballer (1879-1944)"@en
"Paolo Rossi"@en	<http://www.wikidata.org/entity/Q3894430>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Italian basketball player and basketball coach (born 1948)"@en
"Paolo Rossi"@en	<http://www.wikidata.org/entity/Q3894431>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Italian journalist and politician (born 1958)"@en
"Paolo Rossi"@en	<http://www.wikidata.org/entity/Q3894432>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Italian politician and jurist (1900-1985)"@en
"Paolo Rossi"@en	<http://www.wikidata.org/entity/Q3894434>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Italian actor, singer-songwriter and comedian (born 1953)"@en
"Raymond Williams"@en	<http://www.wikidata.org/entity/Q394628>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Welsh scholar, author, and Marxist literary critic (1921–1988)"@en
"Tony Bennett"@en	<http://www.wikidata.org/entity/Q3993198>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American basketball coach and player (born 1969)"@en
"Vânia Bambirra"@en	<http://www.wikidata.org/entity/Q4077162>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"Brazilian political scientist"@en
"Virginia Woolf"@en	<http://www.wikidata.org/entity/Q40909>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"English modernist writer (1882–1941)"@en
"Julie Cruikshank"@en	<http://www.wikidata.org/entity/Q42336746>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"Canadian anthropologist working with Indigenous peoples of the Yukon"@en
"Paul Willis"@en	<http://www.wikidata.org/entity/Q42521567>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"actor"@en
"Ruy Mauro Marini"@en	<http://www.wikidata.org/entity/Q4285579>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Brazilian economist (1932–1997)"@en
"Louis Hartz"@en	<http://www.wikidata.org/entity/Q4496151>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American political scientist (1919-1986)"@en
"Stephen Bann"@en	<http://www.wikidata.org/entity/Q4503684>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British art historian (born 1942)"@en
"Stuart Hall"@en	<http://www.wikidata.org/entity/Q450741>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Jamaican-born British sociologist and cultural theorist"@en
"George Steiner"@en	<http://www.wikidata.org/entity/Q453288>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American writer (1928–2020)"@en
"Juliet Mitchell"@en	<http://www.wikidata.org/entity/Q453560>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"Feminist psychologist"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45366065>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Song dynasty person (CBDB = 7374)"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45373345>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Song dynasty person CBDB = 12052"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45413941>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ming dynasty person CBDB = 28410"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45427944>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ming dynasty person CBDB = 35518"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45436727>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Tang dynasty person CBDB = 192648"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45439555>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ming dynasty person CBDB = 256308"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45442468>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ming dynasty person CBDB = 288176"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45447854>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Tang dynasty person CBDB = 166370"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45448763>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ming dynasty person CBDB = 203437"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45472225>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ming dynasty person CBDB = 304747"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45477240>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ming dynasty person CBDB = 294202"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45483063>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ming dynasty person CBDB = 262614"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45504491>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Tang dynasty person CBDB = 146296"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45519934>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ming dynasty person CBDB = 342357"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45531929>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ming dynasty person CBDB = 204755"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45532865>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"person, CBDB = 146931"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45545863>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ming dynasty person CBDB = 237286"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45546979>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ming dynasty person CBDB = 204993"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45561010>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ming dynasty person CBDB = 290822"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45566436>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Tang dynasty person CBDB = 189526"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45568518>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"person, CBDB = 338570"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45582600>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ming dynasty person CBDB = 270233"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45582745>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ming dynasty person CBDB = 312425"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45587353>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ming dynasty person CBDB = 286127"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45595772>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ming dynasty person CBDB = 126793"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45597818>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ming dynasty person CBDB = 328612"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45605208>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ming dynasty person CBDB = 200767"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45632334>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Qing dynasty person CBDB = 79177"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45642456>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ming dynasty person CBDB = 127534"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45643911>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ming dynasty person CBDB = 201386"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45650772>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ming dynasty person CBDB = 271839"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45675708>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"person, CBDB = 155479"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45680352>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Tang dynasty person CBDB = 175948"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q45680432>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Tang dynasty person CBDB = 186501"@en
"Jacques Rancière"@en	<http://www.wikidata.org/entity/Q467470>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"French philosopher (1940 - )"@en
"Sandra Harding"@en	<http://www.wikidata.org/entity/Q469565>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"American philosopher of feminist theory, postcolonial theory, and epistemology"@en
"Alfred Marshall"@en	<http://www.wikidata.org/entity/Q4723126>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American politician (1797-1868)"@en
"George E. Marcus"@en	<http://www.wikidata.org/entity/Q472339>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American anthropologist, university professor, magazine editor"@en
"Marianne Weber"@en	<http://www.wikidata.org/entity/Q47469582>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"German rower"@en
"Belinda Bozzoli"@en	<http://www.wikidata.org/entity/Q47529914>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"South African academic and politician"@en
"Angela McRobbie"@en	<http://www.wikidata.org/entity/Q4762514>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"British academic"@en
"Angela Sidney"@en	<http://www.wikidata.org/entity/Q4762554>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"Storyteller, author"@en
"Dori Laub"@en	<http://www.wikidata.org/entity/Q47899967>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Israeli psychiatrist"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q48833380>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"association football player"@en
"Luce Giard"@en	<http://www.wikidata.org/entity/Q48926800>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"French historian of science (1950-)"@en
"Brian Vickers"@en	<http://www.wikidata.org/entity/Q4965539>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British literary scholar"@en
"Charles Grosvenor Osgood"@en	<http://www.wikidata.org/entity/Q49819144>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American academic (1871–1964)"@en
"John Stuart Mill"@en	<http://www.wikidata.org/entity/Q50020>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British philosopher and political economist (1806–1873)"@en
"Chandler Davis"@en	<http://www.wikidata.org/entity/Q5071161>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Canadian mathematician and writer (1926–2022)"@en
"Franz Neumann"@en	<http://www.wikidata.org/entity/Q51010943>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	
"Christopher Freeman"@en	<http://www.wikidata.org/entity/Q5106593>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British biochemist, Professor at Bangor University"@en
"Jean Cavaillès"@en	<http://www.wikidata.org/entity/Q515633>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"French philosopher and mathematician (1903–1944)"@en
"Steve Woolgar"@en	<http://www.wikidata.org/entity/Q521895>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British sociologist"@en
"Ludwik Fleck"@en	<http://www.wikidata.org/entity/Q523087>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Polish physician (1896–1961)"@en
"David Harvey"@en	<http://www.wikidata.org/entity/Q5234791>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Irish businessman"@en
"David Ricardo"@en	<http://www.wikidata.org/entity/Q5239023>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British politician (1803-1864)"@en
"Dick Hughes"@en	<http://www.wikidata.org/entity/Q5273035>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American baseball player"@en
"Dick Hughes"@en	<http://www.wikidata.org/entity/Q5273036>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"English footballer (1902-1984)"@en
"Elizabeth Lapovsky Kennedy"@en	<http://www.wikidata.org/entity/Q5363102>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"American feminist"@en
"Eric Dunning"@en	<http://www.wikidata.org/entity/Q5386404>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"sociologist"@en
"Erich Auerbach"@en	<http://www.wikidata.org/entity/Q5387999>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Czech-British photographer (1911-1977)"@en
"Lytton Strachey"@en	<http://www.wikidata.org/entity/Q540427>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"English writer (1880–1932)"@en
"William Mason"@en	<http://www.wikidata.org/entity/Q54296161>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"(c.1572-c.1627) of Gray's Inn, London and Bury St. Edmunds, Suff"@en
"Richard Tuck"@en	<http://www.wikidata.org/entity/Q54629043>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British academic"@en
"Simon Schaffer"@en	<http://www.wikidata.org/entity/Q547039>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British historian of science"@en
"Frances James"@en	<http://www.wikidata.org/entity/Q5478749>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"American ecologist"@en
"Dick Hughes"@en	<http://www.wikidata.org/entity/Q54913396>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Australian jazz pianist, singer and journalist"@en
"Edmund Leach"@en	<http://www.wikidata.org/entity/Q550729>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British social anthropologist (1910–1989)"@en
"John Law"@en	<http://www.wikidata.org/entity/Q55367493>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Scottish footballer"@en
"George Unwin"@en	<http://www.wikidata.org/entity/Q5545398>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British flying ace"@en
"John Law"@en	<http://www.wikidata.org/entity/Q55615208>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"English priest (1738-1827)"@en
