?p	?g	?gLabel
<http://www.wikidata.org/entity/Q78683>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q78997>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q77801>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q794031>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q7967543>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q796885>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q8007100>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q8007305>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q8016>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q803646>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q810024>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q81326>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q77184>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q76710>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q767691>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q76775>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q76894>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q76897>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q769799>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q770131>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q77045>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q770901>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q77109>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q81497>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q773259>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q77339>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q77350>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q773828>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q77389>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q77466>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q77499>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q77626>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q77627>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q89384>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q865173>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q867620>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q87020>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q87187604>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q8772385>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q88427>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q89188>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q892>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q892108>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q893610>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q864216>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q89400>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q89562>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q898722>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q8988115>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q903331>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q9049>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q76696>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q90744>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q912271>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q84675>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q821261>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
