slug,source_dir,md5,bytes,lines,pages,title_guess,ocr_flag,dup_of,local_text_path,text_exists,text_sha256,review_status
wrigley2014_urban_growth_in_early_modern_england_foo,pdf,52d2a14008b76d7f4b5e795d912c11a4,99997,1679,35,URBAN GROWTH IN EARLY MODERN,,,/home/jic823/capitalism/pdf/wrigley2014_urban_growth_in_early_modern_england_foo.txt,True,cbff83403da850878e6bc2e80ab3c43cc8ce75eb3cddc80020f5eee8debe68c0,inventory_only
wrigley2020_malthus_and_the_poor_law,pdf,1eadadb26ae8e9c26bd0223081de9e82,101352,1492,32,MALTHUS AND THE POOR LAW,,,/home/jic823/capitalism/pdf/wrigley2020_malthus_and_the_poor_law.txt,True,7c014ce40a44bfbe5e452d9caf0010a56869bb8731e688b9b15c9b17102e2d31,inventory_only
wrigley2020_the_interplay_of_demographic_economic_an,pdf,0b592e46ccb9d2727a8ab9b979d9a823,61245,1000,23,"Journal of Interdisciplinary History, L:4 (Spring, 2020), 495–515.",,,/home/jic823/capitalism/pdf/wrigley2020_the_interplay_of_demographic_economic_an.txt,True,d1d3a0fe7a707ce08d50156f828b886722284cfa5047aa95a91df1e80e43a03b,inventory_only
wrigleynd_ofp_raw_materialsin_theindustrialrevolut,pdf,d44c2d03a9b6169f7ed4e88fe0c12047,59779,868,17,ECONOMIC                                                HISTORY,,,/home/jic823/capitalism/pdf/wrigleynd_ofp_raw_materialsin_theindustrialrevolut.txt,True,067842509ee54e06010d3538538cf3e319a45e8949253fb0fa22f3a43e15c3ea,inventory_only
wrigleynd_the_general_and_the_particular,pdf,49c3f7f93a9d227f2f4e68884b599d92,28763,378,9,The General and the Particular,,,/home/jic823/capitalism/pdf/wrigleynd_the_general_and_the_particular.txt,True,a0978c776718ebc802cb1f55384341b44b743b2a5e47660caa0d8c825165c466,inventory_only
wynn_2023_eh,pdf,4ec085dc746339d6ce0e2fca1d2de357,44946,612,17,"Forests, Frontiers, and Extractivism",,,/home/jic823/capitalism/pdf/wynn_2023_eh.txt,True,10b31e6b1d80e038141c10fa72ef213ed67145df7e5749ed2090ff2fa65ed727,inventory_only
wynn_2023_eh_notes,pdf,41eca58fd95791af324fa0b4313aa24c,12448,9,1,"1. I thank Jason Lee Newton for inviting me to comment on the session at the ASEH meeting in Riverside, California, from",,,/home/jic823/capitalism/pdf/wynn_2023_eh_notes.txt,True,2ed301d6f8c126e23e724c4f811770f5b05d31e0c8d24418114101b944715733,inventory_only
zarrilli_2001_eh,pdf,be338d41e9bd1eb3d3233fcad3d8e39e,74684,1112,24,"Capitalism, Ecology, and Agrarian Expansion in",,,/home/jic823/capitalism/pdf/zarrilli_2001_eh.txt,True,b74f33467d91819bf1aaad09c955d24d25dcdfaba34757fffb52304c252fb677,inventory_only
zylberberg2015_fuel_prices_regional_diets,pdf,026fe6ac263e722eda8d3a8eae0f6af1,84180,1738,34,The Past and Present,,,/home/jic823/capitalism/pdf/zylberberg2015_fuel_prices_regional_diets.txt,True,d51c30e098b7c6aca2effbcb100d095e85659261547879308e1e1cea8d682396,inventory_only
azurara-chronicle-guinea-vol1/ia_chronicleofdisco01zura,wiki_sources/azurara-chronicle-guinea-vol1,db176f9027026830eb6a0b19ddb9b543,458779,10196,1,LIBRARY'  LAWS.,,,/home/jic823/capitalism/wiki_sources/azurara-chronicle-guinea-vol1/ia_chronicleofdisco01zura.txt,True,bc5996af6f101cd5d7da696dfd7a8be0a89db8f9ed78c69ef2326c1c7db73cc1,inventory_only
azurara-chronicle-guinea-vol2/ia_chroniclediscov03beazgoog,wiki_sources/azurara-chronicle-guinea-vol2,601f0c3a41f9468fd794186e0603374a,829685,20602,1,This is a digital copy of a book that was preserved for generations on library shelves before it was carefully scanned b,,,/home/jic823/capitalism/wiki_sources/azurara-chronicle-guinea-vol2/ia_chroniclediscov03beazgoog.txt,True,54652c1cdce1f93f58e41099907a2d5c66a31f0ff6ea8e43d5da8990d77f0e8e,inventory_only
babbage-economy-machinery-manufactures/pg4238,wiki_sources/babbage-economy-machinery-manufactures,a32d434d99ec39bb41694c2647133ab1,645369,12199,1,The Project Gutenberg eBook of On the Economy of Machinery and Manufactures,,,/home/jic823/capitalism/wiki_sources/babbage-economy-machinery-manufactures/pg4238.txt,True,08cfd812da8c31ceb2085f7a01cb54c3073c84dd2f7dd5a65285c3f1d3358ace,inventory_only
baines-history-cotton-manufacture/ia_historyofcottonm00bain,wiki_sources/baines-history-cotton-manufacture,ce3e16e5d2d977b657576fa79313612a,1202632,38939,1,®Ijf  i.H.  Itll  ©brari},,,/home/jic823/capitalism/wiki_sources/baines-history-cotton-manufacture/ia_historyofcottonm00bain.txt,True,c15eb2a530ad4ba5794340c15dc45dafa6c869e7f5be713becd73a58cf144601,inventory_only
booth-in-darkest-england/pg475,wiki_sources/booth-in-darkest-england,5375902e6d708a11fcef7da72131f06b,752807,13052,1,"The Project Gutenberg eBook of In Darkest England, and the Way Out",,,/home/jic823/capitalism/wiki_sources/booth-in-darkest-england/pg475.txt,True,7d7020d18e593f37c20e0fdd4dc85ad2a7e2cbb190dead8b14ec28f68b496bea,inventory_only
bucher-industrial-evolution/ia_industrialevolut00bcuoft,wiki_sources/bucher-industrial-evolution,be3f0fda7245465060d82662555f3780,812415,15168,1,INDUSTRIAL  EVOLUTION,,,/home/jic823/capitalism/wiki_sources/bucher-industrial-evolution/ia_industrialevolut00bcuoft.txt,True,14181cfa028b76dbddb76d09cdd0af0c53ef91d152be2ef052e3cfd1adfc0428,inventory_only
cantillon-essai-sur-le-commerce/pg62318,wiki_sources/cantillon-essai-sur-le-commerce,6dc88be7a15bbada57e0fae6a1949568,373099,6375,1,The Project Gutenberg eBook of Essai sur le commerce,,,/home/jic823/capitalism/wiki_sources/cantillon-essai-sur-le-commerce/pg62318.txt,True,36c9b1793e56ee479f009d1ee58171788f5c9e2d0c961a7db7685fecd3e395d5,inventory_only
clapham-economic-history-modern-britain-vol1/ia_in.ernet.dli.2015.228742,wiki_sources/clapham-economic-history-modern-britain-vol1,d37aac9387daff96c0bb113f284fdb3b,1878420,36707,1,ECONOMIC  HISTORY,,,/home/jic823/capitalism/wiki_sources/clapham-economic-history-modern-britain-vol1/ia_in.ernet.dli.2015.228742.txt,True,327eb7bbcd50aa8b91a0cc1eb0bdd3d7fcc5426bb49efcd2ee3f3dbebb9635b6,inventory_only
